stemming,target
['senang'],1
"['irawan', 'duit', 'kagak']",1
"['loba', 'teuing', 'ngurus', 'proyek']",1
"['mantap', 'naik', 'saja', 'nya', 'rakyat', 'sudah', 'kaya', 'raya', 'nggak', 'miskin', 'periode', 'agar', 'rakyat', 'senang']",1
"['subsidi', 'tidak', 'cabut', 'tapi', 'alih', 'dari', 'subsidi', 'barang', 'subsidi', 'masyarakat', 'dalam', 'bentuk', 'blt']",1
"['bbm', 'tidak', 'subsidi', 'pajak', 'kendara', 'sim', 'hapus', 'kendara', 'bebas', 'pajak']",1
"['lanjut', 'periode']",1
"['tidak', 'masuk', 'akal', 'negara', 'harga', 'negara', 'gerak', 'maju', 'untuk', 'korupsi']",1
"['apbn', 'habis', 'mindah', 'ibukota']",1
"['kecil', 'ribu', 'barang', 'langkah', 'orang', 'papua', 'keluh', 'katain', 'negeri', 'minyak', 'barang', 'baik', 'baik']",1
['periode'],1
"['perintah', 'salah', 'bbm', 'hutang', 'negara', 'makin', 'tingkat', 'bbm', 'tuju', 'ya', 'mudah', 'an', 'putus', 'ambil', 'perintah', 'indonesia', 'makin', 'maju']",1
"['tidak', 'apa', 'bbm', 'bantu', 'pemerinta']",1
"['hormat', 'bp', 'tri', 'jangan', 'awas', 'tapi', 'cctv', 'spbu', 'terima']",1
"['dana', 'pindah', 'kota', 'sudah', 'tipis', 'sih', 'ya', 'saja', 'bbm']",1
"['harap', 'tenang', 'partai', 'cilik']",1
"['mantap', 'habis', 'pbb', 'susul']",1
"['bbm', 'jenis', 'partalite', 'rupiah', 'rakyat', 'indonesia', 'sudah', 'demo', 'malaysia', 'harga', 'partalite', 'ringgit', 'tidak', 'demo', 'rnggit', 'rupiah']",1
"['median', 'harga', 'bbm', 'murah', 'usa', 'octane', 'gallon', 'rp', 'gallon', 'rp', 'liter', 'harga', 'pertalite', 'rp', 'liter', 'presiden', 'joko', 'widodo', 'dukung', 'putus', 'perintah', 'hubung', 'naik', 'harga', 'pertalite', 'solar', 'god', 'bless', 'nkri', 'forever']",1
"['beli', 'ngotel', 'ngosan', 'tidak', 'ribet', 'bikin', 'tidak']",1
"['bbm', 'tidak', 'bahan', 'bakar', 'tidak', 'mana']",1
"['tinggal', 'bangun', 'negeri', 'gotong', 'royong', 'kalau', 'harta', 'sumbang', 'bangun', 'negeri', 'anda', 'teriak', 'gimana', 'anda', 'hidup', 'zaman', 'perang', 'anda', 'tidak', 'korbanin', 'nyawa', 'harta', 'merdeka', 'indonesia', 'kaya', 'orang', 'kaya', 'gin', 'dulunya', 'demang', 'sama', 'kompeni', 'nggak', 'otak']",1
[],1
"['mantap', 'habis', 'pbb', 'susul']",1
"['naik', 'saya', 'tuju', 'tolong', 'suli', 'aplikasi', 'dyh', 'bikin', 'sulit', 'masarakat']",1
"['moga', 'allah', 'meridhoi', 'putus']",1
['senang'],1
"['beli', 'ngotel', 'ngosan', 'tidak', 'ribet', 'bikin', 'tidak']",1
"['bangun', 'kota']",1
"['indonesia', 'sejahtera', 'solusi', 'cma', 'sah', 'uu', 'hukum', 'mati', 'koruptor', 'tidak', 'banyak', 'tentang', 'korupsi', 'lama', 'uu', 'hukum', 'mati', 'tidak', 'sahkan']",1
[],1
"['turun', 'dari', 'atm']",1
"['subsidi', 'bbm', 'hapus', 'mobil', 'pribadi', 'kategori', 'pakai', 'bbm', 'subsidi', 'senang', 'subsidi', 'bbm', 'hapus', 'salah', 'kalang', 'motor', 'giat', 'hari', 'pakai', 'subsidi', 'bbm', 'hak', 'rampas', 'kalang', 'sembunyi', 'balik', 'rakyat', 'jadi', 'alas', 'salah', 'kalang', 'dukung', 'penuh', 'cabut', 'subsidi', 'bbm', 'mobil', 'pribadi', 'kategori', 'nikmat', 'subsidi', 'bbm']",1
"['subsidi', 'bbm', 'hapus', 'mobil', 'pribadi', 'kategori', 'pakai', 'bbm', 'subsidi', 'senang', 'subsidi', 'bbm', 'hapus', 'salah', 'kalang', 'motor', 'giat', 'hari', 'pakai', 'subsidi', 'bbm', 'hak', 'rampas', 'kalang', 'sembunyi', 'balik', 'rakyat', 'jadi', 'alas', 'salah', 'kalang', 'dukung', 'penuh', 'cabut', 'subsidi', 'bbm', 'mobil', 'pribadi', 'kategori', 'nikmat', 'subsidi', 'bbm']",1
"['mantap', 'cocok', 'periode']",1
"['bbm', 'sampai', 'harga', 'jangan', 'bikin', 'bingong', 'rakyat', 'kecil', 'aplikasi', 'tidak', 'terus', 'bbm', 'batas', 'kalok', 'baik', 'mudah', 'rakyat', 'cari', 'tidak', 'susahh']",1
"['salam', 'periode']",1
"['coba', 'bangun', 'pertamini', 'milik', 'bumn', 'nya', 'pelosok', 'negeri', 'agar', 'adil', 'sosial', 'capai', 'suruh', 'pertamini', 'jual', 'tamak', 'saja', 'pertalitenya', 'ngilang']",1
"['bapak', 'jokowi', 'naik', 'bbm', 'aja', 'ada', 'nang', 'bapak', 'naik', 'tidak', 'ada', 'nang']",1
"['saya', 'sbagai', 'rakyat', 'aja', 'minyak', 'tapi', 'perintah', 'suruh', 'usaha', 'naik', 'gaji', 'karyawannya']",1
"['bapak', 'jokowi', 'naik', 'bbm', 'aja', 'ada', 'nang', 'bapak', 'naik', 'tidak', 'ada', 'nang']",1
"['rakyat', 'ngomong', 'apa', 'mengko', 'ngomong', 'tangkap', 'ya', 'pasrah']",1
"['moga', 'harga', 'barang', 'butuh', 'roket']",1
"['buat', 'putus', 'adil', 'imbang', 'jangan', 'sampai', 'kaya', 'kaya', 'miskin', 'derita']",1
['lawak'],1
"['terima', 'tidak', 'teriak', 'pilih', 'selamat', 'nikmat', 'naik', 'bbm', 'salam', 'gigit', 'jari']",1
"['alas', 'golput', 'karena', 'mimpi', 'rakyat', 'ttap', 'jdi', 'korban', 'syukur', 'rakyat', 'tahan']",1
['nkri'],1
"['tanggung', 'dhe', 'ribu', 'ja', 'naik', 'sekali', 'harga', 'nya', 'tidak', 'macet', 'bikin', 'jalan']",1
"['bapak', 'dari', 'pade']",1
"['tuju', 'program', 'kembang', 'kasta', 'dalit']",1
"['terima', 'tidak', 'teriak', 'pilih', 'selamat', 'nikmat', 'naik', 'bbm', 'salam', 'gigit', 'jari']",1
"['bapak', 'jokowi', 'jdi', 'presiden', 'seumor', 'hidup', 'mantap']",1
